phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	530	499754	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CONDITIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CONDITIONS.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	3031	497317	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_INFESTATIONS	Other infestations	I Certain infectious and parasitic diseases (AB1_)	71	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFESTATIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFESTATIONS.gz
AB1_OTHER_MOSQUITO_FEVER	Other mosquito-borne viral fevers	I Certain infectious and parasitic diseases (AB1_)	75	496577	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_MOSQUITO_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_MOSQUITO_FEVER.gz
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	534	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_MYCOBAC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_MYCOBAC.gz
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	497	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_PROTOZOAL.gz
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	17133	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SEPSIS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	10678	489670	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	742	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SUPERF_MYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SUPERF_MYCOSIS.gz
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	14261	486087	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_VIRAL.gz
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	286	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PARASITIC_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PARASITIC_NOS.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	2231	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PEDICULOSIS_AND_PHTHIRIAASIS	Pediculosis and phthiriasis	I Certain infectious and parasitic diseases (AB1_)	109	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_AND_PHTHIRIAASIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_AND_PHTHIRIAASIS.gz
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	513	499430	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PNEUMOCYSTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PNEUMOCYSTOSIS.gz
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	469	497501	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_POLIOMYELITIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_POLIOMYELITIS.gz
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	918	499430	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PROTOZOAL.gz
AB1_RELAP_FEVER	Relapsing fevers	I Certain infectious and parasitic diseases (AB1_)	74	489670	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RELAP_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RELAP_FEVER.gz
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, confirmed	I Certain infectious and parasitic diseases (AB1_)	689	497285	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_CONF.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_CONF.gz
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed	I Certain infectious and parasitic diseases (AB1_)	1638	497285	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_NONCONF.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_NONCONF.gz
AB1_RICKETTSIOSES	Rickettsioses	I Certain infectious and parasitic diseases (AB1_)	61	500287	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RICKETTSIOSES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RICKETTSIOSES.gz
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	1264	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RUBELLA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RUBELLA.gz
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	1411	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SALMONELLA_OTH.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SALMONELLA_OTH.gz
